Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-	Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.	Manti Te'o was talkin' on the phone or computer with some fella pretendin' to be a gal.
I'm still up, man world war z was pretty hood. It'sa good picture to watch	I'm still up. Man, World War Z was pretty good. It's a good picture to watch	I'm still awake. Lawd, World War Z was something else. It's a real fine movie to watch.
I believe that God makes NO mistakes and that everything happens for a reason...whetherit be good or bad	I believe that God makes NO mistakes and that everything happens for a reason, whether   it's good or bad	I reckon that God don't make no mistakes and that everythang happens 'cause the Good Lord got a plan, maybe it's somethin' good, maybe it's somethin' bad.
How u have somebody make a promise not to drink when they drunk tho? That'sjuss down right sneaky" lmao	Why would you make someone promise not to drink when they're already drunk? That'sjust really sneaky. I'm laughing out loud	Why in the world would you make sombody give you a promise not to drink no more when they's already plastered? That's just real sneaky business. I'm just over here laughin' my head off.
It's way past my bedtime but so much on my mind thatsleep is no where near	It's way past my bedtime, but there's so much on my mind thatsleep is near impossible	It's long after my time for bed, but my mind's just full of things and sleep jus ain't happenin'.
I know I don't grew into my own when I allI wanna do is grind	I know I have became a real adult when I allI want to do is work.	I reckon I've grown up proper when all I hanker for is to work.
I been giving him my prayers . He been blessing me with . And stayclear from all these hoes	I have been giving him my prayers. He has been blessing me. And stayclear from all of these hoes.	I've been sendin' him my prayers. He's been blessin' me. And ya best keep away from all them gals.
I'm so fucking,(irratated)like everybody is fucking blowing Da shit out ofmy Life#im done say nomore:-(	I'm so fucking irritated. Everybody is fucking blowing the shit out ofmy life. I'm done, say no more	I'm plumb wore out and aggravated. Folks just keep on shittin' all over my life. I can't take it no more.
Ive eaten Lou's and Harolds in the last 3 days. Diet here I come. I been working out but aboutto go in cardio overload.	I have eaten Lou's and Harolds in the last three days. Diet, here I come. I have been working out but aboutto go into cardio overload.	I've been eatin' at Lou's and Harold's these past three days. Guess it's time for me to start that diet. I've been workin' out, but I think I might be headin' into some serious cardio overload.
People who know me know I been to hell and back andI can FINALLY say...IM HAPPY	People who know me, know that I've been to hell and back, and I can finally say that I'm happy.	Folks what knows me, knows I've been through the depths of hell and back, but now I'm able to say that I'm truly contented.
Right.now I'm enjoying watching my grand children play, and my family are here assistingme with my new book	Right. Now I'm enjoying watching my grandchildren play and my family is here assistingme with my new book	Ain't that right? Now I'm just sittin' here enjoyin' watchin' my grandbabies play. My fam-bam's here helpin' me out with this here new book.
This cold making me about to pour me a drink cause I need to be wellfor this work week ahead	This cold is making me want to pour myself a drink, because I need to be healthyfor this work week coming up	This cold got me hankerin' for a drink 'cause I figger I needs it to stay healthy for this here work week comin' up.
They're mad about the gov't tapping phone lines. I don't care. Idon't have anything to hide	They're mad about the government tapping phone lines. I don't care. Idon't have anything to hide	They're all riled up 'bout the government listenin' in on their phone lines. Ain't got no dog in that fight m'self. Don't got nothin' to hide.
naw working. Trying to get my priorities in order an get my money up so no extra kicking it andI'm going home in sept	I'm trying to get my priorities in order and save money, they'll be no more celebration, andI'm going home in September	I'm tryin' to get my priories straight and save some cash. Ain't gonna be no more partying, and I'm headin' back home in September.
He said you'd forget to pick yo' kids up, forget you'recooking, forget life basically lol	He said you would forget to pick your kids up, forget you are cooking, and forget life, basically. I'm laughing	He said you'd forget 'bout pickin' up your kiddos, forget whatcha cookin', and forget about life in general. I'm just laughin'.
I used to be a ball of energy before class. Got there and felt like Ihad been up all night	I used to be a ball of energy before class. I got there and it felt like Ihad been up all night	Afore I went to class, I was a bundle of get-up-and-go. But once I got there, it seemed like I hadn't had a wink of sleep all night.
I been meeting more girls that say "Im going out with my boyfriend"...I be like "SO WAT!"	I have been meeting more girls that say, \"I am going out with my boyfriend.\"I say, \"So, what?!\	I've been runnin' into more gals sayin', "I'm goin' out with my beau." I say, "Well, so what?"
I mean I know I don't have the best grammar in the world but I canput a sentence together ll	I mean, I know that I don't have the best grammar in the world, but I canput a sentence together.	I reckon I ain't got the best grammar this side of the world, but I can string a sentence together.
We used to go so hard on it. We were probably two bottlesfrom turning into lemons lol	We used to go so hard on it. We were probably two bottlesaway from turning into lemons. Laugh out loud.	We was really givin' it our all. Probably only two more bottles and we'd a been turnin' into lemons, hehe.
I can understand like a month or 2. Not 2 weeks! I'm bout to be out herewith 1 big loc lol	I can understand a month or two, but not two weeks! I'm going to go outa crazy person. I'm laughing	I can comprehend a month or two, but not two weeks! I'm fixin' to lose my marbles. I'm gigglin'.
At the end of the day, I cant respect or forgive the BaltimoreRavens for breakin RGIII leg	At the end of the day, I can't respect or forgive the BaltimoreRavens for breaking RGIII's leg	At the close of the day, I just can't hold no respect nor forgiveness in my heart for them Baltimore Ravens, what they did to RGIII by breakin' his leg.
like i got alot of back& front thoo....he b wantin ah bitchdat look anorexic n ish	I have a lot of weight on the back and front of my body, but he wants a bitchthat looks like she's anorexic and shit	I got me a whole lotta weight goin' on both ends of my body. But him, he wantin' a dog that looks like she's near starvin' and all emaciated-like.
why u have tuh go there tho SOME OF US DONTHAVE AH LIE (RUNS AWAY)	Why do you have to go there though? Some of us don'thave a lie (runs away).	Why do you gotta go there, though? Some of us ain't got no lies to tell (runs away).
Mindless Behavior Songs Motivate Me to Try Harder.So Im Listening to them Now To Get Threw ThiS 2ndDay Of School. Thx Mb	Mindless Behavior has motivational songs. I'm listening to them now to get through this second day of school. Thank you Mindless Behavior.	Mindless Behavior sings them some inspiring tunes. I's listenin' to 'em right now, helps me get through this here second day of school. Much obliged to Mindless Behavior.
When did a national tour become a national tour if its notrecognized by the Broadway League.	When did a national tour become national if it's not recognized by the Broadway League.	When did that nationwide tour really go nationwide, if the Broadway League ain't recognizin' it?
no not yet but I'm getting close! I was in 5th grade then! I still remember lifelong affect you had thanks!	No, not yet. But I am getting close! I was in the 5th grade then! I still remember life-long affect you had. Thanks	No, not just now. But I'm right about to get there! I was in the 5th grade back then! I still recollect the long-lastin' impact you had. Thanks.
